DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-01-23,EQ,473.75,473.75,456.4,468.4,459.85,459.3,465.33,499.7,329.1,8404513,3910881933.9,174187,ITC
2024-01-20,EQ,473.4,475.0,468.0,471.5,468.3,468.4,471.38,499.7,327.55,3296407,1553845356.45,53837,ITC
2024-01-19,EQ,468.55,473.0,466.4,465.5,472.0,471.5,470.66,499.7,327.55,12203322,5743598363.6,140093,ITC
2024-01-18,EQ,465.25,467.85,454.55,466.6,466.45,465.5,463.82,499.7,327.55,9143784,4241036943.75,162645,ITC
2024-01-17,EQ,471.4,477.0,465.2,472.3,467.3,466.6,470.02,499.7,327.55,11108698,5221322440.85,163870,ITC
2024-01-16,EQ,467.8,475.0,464.25,467.6,475.0,472.3,469.28,499.7,327.55,12066347,5662477326.35,181194,ITC
2024-01-15,EQ,470.0,470.5,466.1,466.7,467.55,467.6,467.74,499.7,327.55,6902156,3228425376.55,141310,ITC
2024-01-12,EQ,463.25,467.7,460.35,462.65,467.4,466.7,464.54,499.7,326.4,9354326,4345496069.9,151600,ITC
2024-01-11,EQ,464.1,466.55,461.1,463.3,463.25,462.65,463.35,499.7,326.4,6534775,3027885522.2,128488,ITC
2024-01-10,EQ,464.55,466.75,460.05,464.55,463.5,463.3,462.07,499.7,326.4,5896123,2724412894.15,113576,ITC
2024-01-09,EQ,467.5,469.95,463.65,465.5,464.2,464.55,466.06,499.7,326.4,5696780,2655047091.6,133889,ITC
2024-01-08,EQ,475.0,475.5,464.55,473.95,465.35,465.5,467.76,499.7,326.4,8003177,3743577082.0,162793,ITC
2024-01-05,EQ,479.4,479.4,472.0,476.4,473.8,473.95,474.98,499.7,326.0,9209405,4374280743.7,191991,ITC
2024-01-04,EQ,480.0,481.45,474.2,477.25,475.5,476.4,478.62,499.7,326.0,11786959,5641469823.9,145887,ITC
2024-01-03,EQ,470.25,480.7,469.35,470.35,477.45,477.25,477.4,499.7,326.0,24036012,11474709723.9,270703,ITC
2024-01-02,EQ,470.0,471.35,463.6,468.05,470.15,470.35,468.26,499.7,326.0,10519771,4926002186.85,159124,ITC
2024-01-01,EQ,463.5,469.95,462.65,462.1,465.8,468.05,467.15,499.7,326.0,9346277,4366127498.3,167073,ITC
